ID,Técnico,Nombre,Nacimiento,LugarNacimiento,Muerte,LugarMuerte,Biografía,Trayectoria,Foto
Lúpiz,Enrique Lúpiz,Enrique Lúpiz,sin datos,sin datos,sin datos,sin datos,"su hijo fue un famoso actor y esgrimista",trayectoria,https://blogger.googleusercontent.com/img/a/AVvXsEgnPphXMJbxEkuBAaPyBnpC1hgR-EXJ7Dw0VD2b0s0HVxkvnN7pUFZKVVOL4SSu9mJmHGB53ZF1PYTe7WUg8-NEOP8YgLPrQP_RZAaBCmLgfD6VPzP9ivxVu-nFqhehYLV7jV5kU4Wi3YfMwSrAZe1vFjl-1qcTCgGvrdr445Wa66ws-N17WCwsmu0h5O1G=w177-h220
Martínez D,Diego Martínez,Diego Martínez,sin datos,sin datos,sin datos,sin datos,bio,trayectoria,foto
Martínez,Héctor Martínez,Héctor Martínez,sin datos,sin datos,sin datos,sin datos,bio,trayectoria,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgsDyEn_gexH5wNjk2qe9oO3YtujlgkyJEGV5txtMt_FZw7bgiS6Fhyphenhyphenf6WixohfV7BjLpMx-LfNUN3o3qsLpbMekFnG5Zp47qz15bvPzsPLMtF1tZns7fFkob_1UmUKPVlkC_Kg4HOY-yKp/w220-h293/Mart%25C3%25ADnez+Jes%25C3%25BAs+01+%2528color%2529+G.jpg
Menotti,César Menotti,César Luis Menotti,sin datos,sin datos,sin datos,sin datos,bio,trayectoria,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhpAN9LRIm1BWjFUMqkH-Rq5I-InXyMTTwclnEh20e0Qlfbyn2BzunuwqHJTo8lgP8_ZJZn1iZ-ynwJPfRljAqOFDOwCA_6T1IQcK1J3IcIL_WQMBBygFnBi65fr-lYEhC0LYkyJHdAgN8y/w165-h221/Menotti+C%25C3%25A9sar+01+%2528color%2529+G.jpg
Mohamed,Antonio Mohamed,Antonio Ricardo Mohamed,sin datos,sin datos,sin datos,sin datos,"condujo durante el torneo de la B Nacional 2013/14, retirándose tras perder 0-1 con Brown de Adrogué.  Retornó en la temporada 2018/19, participando en Campeonato y Copa Superliga, así como en la Libertadores 2019, donde se retiró tras perder 1-2 con Emelec de Ecuador.","Zacatepec (México) -2003/04-, Morelia (México) -2004-, Querétaro (México) -2004/05-, Chiapas (México) -2005-, Huracán -2005/07, 2013/14 y 2019-, Veracruz (México) en 2007, Colón (Santa Fe) -2008/10-, Independiente -2010/11-, Tijuana (México) -2011/13-, América (México) -2014-, Monterrey (México) -2015/18 y 2019/20-, Celta (España) -2018-, Mineiro (Brasil) -2022-, Pumas (México (2023) y Toluca (México) -2025-",https://blogger.googleusercontent.com/img/a/AVvXsEhkeBV0VhizpN-gkVc9CtOxW75gtfD95c8QbqEmY8VykvopeunTZKjCEU86-rNbJ4a45WPm9IPwHZ_ZbiCt-bk-geHvjPIMzlC2l2y-D_Jh2B_FYIrFB7NeBuamkkVcBFKRtMXNeUKEfa5lcmszjdDVqfrjCfXxy3eqO3pKi5ml1YVjPugHWJx0P8ldr-m7=w166-h223
Morresi,Morresi-Carrizo,Claudio Morresi,sin datos,sin datos,sin datos,sin datos,"condujeron en dupla en el Apertura 2001, tras la partida de Osvaldo Piazza.  Perdieron 0-2 con Estudiantes de La Plata y dieron paso a la llegada de Miguel Brindisi",trayectoria,https://drive.google.com/uc?export=view&id=1gnXtglmnGayO3GMahtlMq_FPTu2cKAgq
Pedernera,Adolfo Pedernera,Adolfo Pedernera,sin datos,sin datos,sin datos,sin datos,bio,trayectoria,https://blogger.googleusercontent.com/img/a/AVvXsEhiFhoEo8dM_L0AvsLhLEzQAb6EmMWCezHwthjMQUy-fEBShBBHXA1c4WtnIUbwY0TcLZRJohEP9o2NrnqkR6kcHdCM7Kj-lR7kql_Ao3kzln_T2RxkzE230LpyiFkxM-g_a8QF1X5ZZP2pUaXN4R8UWz5TFjyMVk-9hA_uOm2Bz6ZbikTRjfGPvwm_edWs=w169-h223
Pentrelli,Luis Pentrelli,Luis Pentrelli,sin datos,sin datos,sin datos,sin datos,bio,trayectoria,foto
Peña,José Peña,José Peña,sin datos,sin datos,sin datos,sin datos,"Más conocido como 'Pepe'.  Era periodista y trabajaba en El Gráfico.  Lo contrataron por su conocimiento, pero implementó métodos europeos con cubiertas, cinturones y otros elementos, ganándose la enemistad de los caudillos del plantel, con Miguel Vidal a la cabeza.  Su hijo Fernando fue un conocido conductor de radio",trayectoria,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhtSb5HWpa4HntoriCLkG5qOvw7N-Vl45gM4tg0lqXmY62dxa0lSa8CskmpxDn8PjVMPJWherV_1nK7Y7bgX46hqiloY7BdafNgv0ruAJEklf_oYsnhSyB8l3d_qDBI8oxyMyddTR6BF4XR/w166-h219/Pe%25C3%25B1a+Jos%25C3%25A9+02+%2528color%2529+G.jpg
Piazza,Osvaldo Piazza,Osvaldo Piazza,sin datos,sin datos,sin datos,sin datos,"dirigió en el Apertura 2001, aunque su sistema de tres en el fondo no dio resultado.  Se fue tras perder 0-4 con Rosario Central",trayectoria,https://drive.google.com/uc?export=view&id=1gnXtglmnGayO3GMahtlMq_FPTu2cKAgq
